FID,FID_philly,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Shape_Leng,Shape_Area,test_area,bg_area,FID_wards_,ward_str,new_area,ratio
645,359,360,42,101,017602,2,1500000US421010176022,421010176022,2,BG,77315.000000000000000,0.000000000000000,3933.625606680000146,826361.227961000055075,826361.227961000055075,826361.227961000055075,66,7,826361.227962999953888,1.000000000000000
646,360,361,42,101,007000,1,1500000US421010070001,421010070001,1,BG,71399.000000000000000,0.000000000000000,3600.738128330000109,768505.112391000031494,768505.112391000031494,768505.112391000031494,48,51,768505.112390000023879,0.999999999999000
647,361,362,42,101,003600,3,1500000US421010036003,421010036003,3,BG,370917.000000000000000,0.000000000000000,8739.051903060000768,4097848.166459999978542,4097848.166459999978542,4097848.166459999978542,18,26,10129.324796599999900,0.002471864350540
648,361,362,42,101,003600,3,1500000US421010036003,421010036003,3,BG,370917.000000000000000,0.000000000000000,8739.051903060000768,4097848.166459999978542,4097848.166459999978542,4097848.166459999978542,44,48,4087718.841669999994338,0.997528135651000
649,362,363,42,101,034200,1,1500000US421010342001,421010342001,1,BG,196320.000000000000000,0.000000000000000,5966.394726849999643,1892131.160609999904409,1892131.160609999904409,1892131.160609999904409,61,63,1892131.160630000056699,1.000000000010000
650,363,364,42,101,038800,2,1500000US421010388002,421010388002,2,BG,205950.000000000000000,0.000000000000000,8073.497233410000263,2347239.092569999862462,2347239.092569999862462,2347239.092569999862462,14,22,174.200568207000003,0.000074215093281
651,363,364,42,101,038800,2,1500000US421010388002,421010388002,2,BG,205950.000000000000000,0.000000000000000,8073.497233410000263,2347239.092569999862462,2347239.092569999862462,2347239.092569999862462,68,9,2347064.892030000220984,0.999925784919000
652,364,365,42,101,018002,3,1500000US421010180023,421010180023,3,BG,144314.000000000000000,0.000000000000000,5043.688446299999669,1543323.713629999896511,1543323.713629999896511,1543323.713629999896511,17,25,1543323.713650000048801,1.000000000010000
653,365,366,42,101,029900,2,1500000US421010299002,421010299002,2,BG,179278.000000000000000,0.000000000000000,6951.841988889999811,1933333.099410000024363,1933333.099410000024363,1933333.099410000024363,15,23,1520282.650149999884889,0.786353190050000
654,365,366,42,101,029900,2,1500000US421010299002,421010299002,2,BG,179278.000000000000000,0.000000000000000,6951.841988889999811,1933333.099410000024363,1933333.099410000024363,1933333.099410000024363,37,41,44477.593824700001278,0.023005654761900
655,365,366,42,101,029900,2,1500000US421010299002,421010299002,2,BG,179278.000000000000000,0.000000000000000,6951.841988889999811,1933333.099410000024363,1933333.099410000024363,1933333.099410000024363,41,45,9408.040762770000583,0.004866228569530
656,365,366,42,101,029900,2,1500000US421010299002,421010299002,2,BG,179278.000000000000000,0.000000000000000,6951.841988889999811,1933333.099410000024363,1933333.099410000024363,1933333.099410000024363,60,62,359164.814673000015318,0.185774926619000
657,366,367,42,101,008702,1,1500000US421010087021,421010087021,1,BG,197368.000000000000000,0.000000000000000,6165.615439750000405,2113707.108750000130385,2113707.108750000130385,2113707.108750000130385,19,27,2113707.108740000054240,0.999999999995000
658,367,368,42,101,023800,4,1500000US421010238004,421010238004,4,BG,186572.000000000000000,0.000000000000000,6018.244553710000218,1974938.125149999978021,1974938.125149999978021,1974938.125149999978021,56,59,1974938.125149999978021,1.000000000000000
659,368,369,42,101,031102,4,1500000US421010311024,421010311024,4,BG,125948.000000000000000,0.000000000000000,4656.168408319999799,1353496.859290000051260,1353496.859290000051260,1353496.859290000051260,50,53,1349227.334040000103414,0.996845559544000
660,368,369,42,101,031102,4,1500000US421010311024,421010311024,4,BG,125948.000000000000000,0.000000000000000,4656.168408319999799,1353496.859290000051260,1353496.859290000051260,1353496.859290000051260,51,54,4269.525246520000110,0.003154440453420
661,369,370,42,101,014600,2,1500000US421010146002,421010146002,2,BG,85813.000000000000000,0.000000000000000,3854.003809769999862,923538.995258999988437,923538.995258999988437,923538.995258999988437,5,14,3251.032610929999919,0.003520189864880
662,369,370,42,101,014600,2,1500000US421010146002,421010146002,2,BG,85813.000000000000000,0.000000000000000,3854.003809769999862,923538.995258999988437,923538.995258999988437,923538.995258999988437,12,20,920287.962623000028543,0.996479810108000
663,370,371,42,101,011000,2,1500000US421010110002,421010110002,2,BG,108966.000000000000000,0.000000000000000,4746.299766699999964,1291763.326289999997243,1291763.326289999997243,1291763.326289999997243,49,52,1190.634438320000072,0.000921712525885
664,370,371,42,101,011000,2,1500000US421010110002,421010110002,2,BG,108966.000000000000000,0.000000000000000,4746.299766699999964,1291763.326289999997243,1291763.326289999997243,1291763.326289999997243,57,6,1290572.691850000061095,0.999078287473000
665,371,372,42,101,033101,2,1500000US421010331012,421010331012,2,BG,127572.000000000000000,0.000000000000000,5541.966233600000123,1368317.297419999958947,1368317.297419999958947,1368317.297419999958947,37,41,2957.584220579999965,0.002161475431290
666,371,372,42,101,033101,2,1500000US421010331012,421010331012,2,BG,127572.000000000000000,0.000000000000000,5541.966233600000123,1368317.297419999958947,1368317.297419999958947,1368317.297419999958947,52,55,5654.163581830000112,0.004132202079510
667,371,372,42,101,033101,2,1500000US421010331012,421010331012,2,BG,127572.000000000000000,0.000000000000000,5541.966233600000123,1368317.297419999958947,1368317.297419999958947,1368317.297419999958947,62,64,1357666.529709999915212,0.992216156494000
668,371,372,42,101,033101,2,1500000US421010331012,421010331012,2,BG,127572.000000000000000,0.000000000000000,5541.966233600000123,1368317.297419999958947,1368317.297419999958947,1368317.297419999958947,63,65,2039.019919939999909,0.001490166004470
669,372,373,42,101,033102,3,1500000US421010331023,421010331023,3,BG,108448.000000000000000,0.000000000000000,4389.046076530000391,1168831.196019999915734,1168831.196019999915734,1168831.196019999915734,62,64,1165215.050879999995232,0.996906187008000
670,372,373,42,101,033102,3,1500000US421010331023,421010331023,3,BG,108448.000000000000000,0.000000000000000,4389.046076530000391,1168831.196019999915734,1168831.196019999915734,1168831.196019999915734,63,65,3616.145140759999776,0.003093812992910
671,373,374,42,101,025200,2,1500000US421010252002,421010252002,2,BG,132073.000000000000000,0.000000000000000,5755.700980949999575,1403048.057719999924302,1403048.057719999924302,1403048.057719999924302,56,59,1403048.057719999924302,1.000000000000000
672,374,375,42,101,017201,3,1500000US421010172013,421010172013,3,BG,95493.000000000000000,0.000000000000000,4074.903839900000094,1028097.526850000023842,1028097.526850000023842,1028097.526850000023842,2,11,1028097.526839999947697,0.999999999990000
673,375,376,42,101,028700,1,1500000US421010287001,421010287001,1,BG,173290.000000000000000,0.000000000000000,5653.549310649999825,1818206.308669999940321,1818206.308669999940321,1818206.308669999940321,38,42,1124766.917540000053123,0.618613472067000
674,375,376,42,101,028700,1,1500000US421010287001,421010287001,1,BG,173290.000000000000000,0.000000000000000,5653.549310649999825,1818206.308669999940321,1818206.308669999940321,1818206.308669999940321,39,43,5.616256914950000,0.000003088899696
675,375,376,42,101,028700,1,1500000US421010287001,421010287001,1,BG,173290.000000000000000,0.000000000000000,5653.549310649999825,1818206.308669999940321,1818206.308669999940321,1818206.308669999940321,45,49,693429.880618999945000,0.381381297223000
676,375,376,42,101,028700,1,1500000US421010287001,421010287001,1,BG,173290.000000000000000,0.000000000000000,5653.549310649999825,1818206.308669999940321,1818206.308669999940321,1818206.308669999940321,66,7,3.894249137500000,0.000002141808176
677,376,377,42,101,008500,2,1500000US421010085002,421010085002,2,BG,73202.000000000000000,0.000000000000000,3648.972496920000140,788726.775803999975324,788726.775803999975324,788726.775803999975324,58,60,788726.775810000021011,1.000000000010000
678,377,378,42,101,037900,3,1500000US421010379003,421010379003,3,BG,781583.000000000000000,11284.000000000000000,12351.865453300000809,8427839.458469999954104,8427839.458469999954104,8427839.458469999954104,41,45,8427839.458450000733137,0.999999999998000
679,378,379,42,101,031000,4,1500000US421010310004,421010310004,4,BG,95896.000000000000000,0.000000000000000,4137.322285330000341,1033793.795449999975972,1033793.795449999975972,1033793.795449999975972,50,53,1030324.258490000036545,0.996643879103000
680,378,379,42,101,031000,4,1500000US421010310004,421010310004,4,BG,95896.000000000000000,0.000000000000000,4137.322285330000341,1033793.795449999975972,1033793.795449999975972,1033793.795449999975972,51,54,3469.536974300000111,0.003356120910740
