Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T005_009,SE_T005_010,SE_T005_011,SE_T005_012,SE_T005_013,SE_T005_014,SE_T005_015,SE_T005_016,SE_T005_017,SE_T005_018,SE_T005_019,SE_T005_020,SE_T005_021,SE_T005_022,SE_T005_023,SE_T005_024,SE_T005_025,SE_T005_026,SE_T005_027,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T009_005,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T150_001,SE_T150_002,SE_T150_003,SE_T150_004,SE_T150_005,SE_T150_006,SE_T150_007,SE_T150_008,SE_T037_001,SE_T037_002,SE_T037_003,SE_T057_001
421010009022.000000000000000,15000US421010009022,"Block Group 2, Census Tract 9.02, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 9.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16445,,,,,42,101,,,,902,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247,1247,589,0,0,0,0,216,252,5,33,56,19,8,0,658,9,0,27,0,317,187,33,32,37,16,0,0,1247,36,972,196,43,589,0,468,94,27,658,36,504,102,16,1247,986,52,0,148,0,15,46,1247,1236,975,52,0,148,0,15,46,11,11,0,0,0,0,0,0,678,0,678,610,575,213,125,19,704,699,5,84750
421010010011.000000000000000,15000US421010010011,"Block Group 1, Census Tract 10.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 10.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16446,,,,,42,101,,,,1001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339,1339,554,0,15,0,0,5,91,52,29,90,120,147,5,785,2,28,0,0,0,80,61,59,148,260,118,29,1339,45,176,439,679,554,15,96,171,272,785,30,80,268,407,1339,1218,23,0,78,0,0,20,1339,1313,1192,23,0,78,0,0,20,26,26,0,0,0,0,0,0,1289,0,1289,1180,1119,675,342,96,667,651,16,95833
421010010012.000000000000000,15000US421010010012,"Block Group 2, Census Tract 10.01, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 10.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16447,,,,,42,101,,,,1001,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,1325,508,44,28,10,0,20,93,51,76,96,67,7,16,817,0,89,9,11,100,272,95,41,111,59,21,9,1325,191,485,470,179,508,82,113,223,90,817,109,372,247,89,1325,1078,41,0,46,0,0,160,1325,1325,1078,41,0,46,0,0,160,0,0,0,0,0,0,0,0,1014,25,989,922,815,420,213,109,848,838,10,84375
421010010021.000000000000000,15000US421010010021,"Block Group 1, Census Tract 10.02, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 10.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16448,,,,,42,101,,,,1002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384,1384,655,10,27,0,37,29,149,87,120,126,45,25,0,729,25,49,15,0,32,225,105,66,101,98,13,0,1384,163,435,605,181,655,74,178,333,70,729,89,257,272,111,1384,1286,20,45,17,0,0,16,1384,1236,1138,20,45,17,0,0,16,148,148,0,0,0,0,0,0,1160,0,1160,1060,962,632,305,88,962,941,21,121442
421010010022.000000000000000,15000US421010010022,"Block Group 2, Census Tract 10.02, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 10.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16449,,,,,42,101,,,,1002,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,856,396,26,26,15,22,4,63,51,65,29,61,24,10,460,9,77,12,0,25,116,75,46,64,26,10,0,856,187,208,330,131,396,89,67,145,95,460,98,141,185,36,856,839,0,0,17,0,0,0,856,847,830,0,0,17,0,0,0,9,9,0,0,0,0,0,0,640,0,640,575,533,386,161,103,525,466,59,108897
421010010023.000000000000000,15000US421010010023,"Block Group 3, Census Tract 10.02, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 10.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16450,,,,,42,101,,,,1002,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152,1152,550,28,13,11,0,51,200,43,20,50,72,46,16,602,22,38,10,0,13,95,37,56,149,120,49,13,1152,122,359,355,316,550,52,251,113,134,602,70,108,242,182,1152,1019,56,3,74,0,0,0,1152,1112,979,56,3,74,0,0,0,40,40,0,0,0,0,0,0,966,21,945,901,839,445,258,68,519,495,24,85714
421010011011.000000000000000,15000US421010011011,"Block Group 1, Census Tract 11.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 11.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16451,,,,,42,101,,,,1101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,572,350,0,0,0,0,7,73,39,67,80,39,45,0,222,0,0,0,0,9,65,13,0,44,91,0,0,572,0,154,243,175,350,0,80,186,84,222,0,74,57,91,572,435,40,0,84,0,0,13,572,572,435,40,0,84,0,0,13,0,0,0,0,0,0,0,0,556,0,556,504,436,252,64,23,347,277,70,81875
421010011012.000000000000000,15000US421010011012,"Block Group 2, Census Tract 11.01, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 11.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16452,,,,,42,101,,,,1101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,1360,488,29,0,0,0,28,277,23,26,28,47,14,16,872,51,0,32,0,59,557,28,0,29,59,57,0,1360,112,921,134,193,488,29,305,77,77,872,83,616,57,116,1360,1028,143,0,82,0,23,84,1360,1327,995,143,0,82,0,23,84,33,33,0,0,0,0,0,0,1161,74,1087,1014,890,437,150,8,897,885,12,73475
421010011013.000000000000000,15000US421010011013,"Block Group 3, Census Tract 11.01, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 11.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16453,,,,,42,101,,,,1101,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,886,418,25,0,0,0,17,170,62,29,115,0,0,0,468,101,20,0,12,0,228,69,25,13,0,0,0,886,158,415,313,0,418,25,187,206,0,468,133,228,107,0,886,872,14,0,0,0,0,0,886,749,735,14,0,0,0,0,0,137,137,0,0,0,0,0,0,711,20,691,691,607,494,297,34,645,636,9,66023
421010011014.000000000000000,15000US421010011014,"Block Group 4, Census Tract 11.01, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 11.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16454,,,,,42,101,,,,1101,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,848,351,0,0,0,0,158,60,8,48,45,32,0,0,497,0,0,12,4,245,116,0,58,8,45,9,0,848,16,579,167,86,351,0,218,101,32,497,16,361,66,54,848,703,54,0,58,0,33,0,848,797,674,46,0,58,0,19,0,51,29,8,0,0,0,14,0,429,26,403,351,307,162,92,26,522,478,44,82727
421010011021.000000000000000,15000US421010011021,"Block Group 1, Census Tract 11.02, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 11.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16455,,,,,42,101,,,,1102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,935,430,27,8,8,0,23,165,70,56,8,32,33,0,505,13,0,18,14,29,169,62,95,61,44,0,0,935,88,386,352,109,430,43,188,134,65,505,45,198,218,44,935,853,22,0,60,0,0,0,935,916,834,22,0,60,0,0,0,19,19,0,0,0,0,0,0,795,0,795,771,683,358,204,99,697,679,18,94107
421010011022.000000000000000,15000US421010011022,"Block Group 2, Census Tract 11.02, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 11.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16456,,,,,42,101,,,,1102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631,1631,902,10,0,37,0,135,386,107,105,70,52,0,0,729,40,0,11,0,73,438,106,36,0,25,0,0,1631,98,1032,424,77,902,47,521,282,52,729,51,511,142,25,1631,1192,164,0,204,0,9,62,1631,1620,1181,164,0,204,0,9,62,11,11,0,0,0,0,0,0,1325,20,1305,1266,1175,709,224,46,1105,1075,30,67083
